username,course,date
isilaltnsk,Dalgalar FiziÄŸi,2025-09-29
isilaltnsk,Deep Learning,2025-09-29
isilaltnsk,Economics,2025-09-30
isilaltnsk,Data Mining,2025-09-30
isilaltnsk,Dalgalar Lab.,2025-10-02
isilaltnsk,Dalgalar,2025-10-01
isilaltnsk,Elektronik I,2025-10-01
isilaltnsk,Electronics Lab.,2025-10-02
isilaltnsk,Analysis of Algorithms I,2025-10-03
melike,kimyasal metalurji 1,2025-09-29
melike,transport phenomena,2025-09-30
melike,karakterizasyon lab,2025-09-30
melike,malzeme karakterizasyonu,2025-10-01
melike,modern trnin temelleri,2025-10-02
melike,fizk2,2025-10-02
yagmur67,FEEDBACK,2025-09-29
